Area_id,Area,Initial_assessment,Total_owed_prevention/relief_duty,Prevention_duty,Temporary_tenancy_expires,Relief_duty,No_duty_owned,No_of_households,Household_threatened_homelessness,Household_assessed_homeless
E07000113,Swale,222,204,91,24,113,18,65, 1.40 , 1.74 
E06000030,Swindon,354,353,111,47,242,1,98, 1.13 , 2.47 
E08000008,Tameside,383,383,164,40,219,0,101, 1.63 , 2.18 
E07000199,Tamworth,79,78,46,2,32,1,33, 1.41 , 0.98 
E07000215,Tandridge,69,69,40,4,29,0,36, 1.10 , 0.80 
E07000045,Teignbridge,141,140,98,11,42,1,62, 1.57 , 0.67 
E06000020,Telford & Wrekin,378,377,191,36,186,1,75, 2.56 , 2.49 
E07000076,Tendring,212,205,61,33,144,7,69, 0.88 , 2.07 
E07000093,Test Valley,125,122,77,5,45,3,54, 1.43 , 0.83 
E07000083,Tewkesbury,120,120,60,9,60,0,43, 1.41 , 1.41 
E07000114,Thanet,182,180,108,45,72,2,66, 1.63 , 1.09 
E07000102,Three Rivers,120,96,81,3,15,24,38, 2.12 , 0.39 
E06000034,Thurrock,212,211,116,27,95,1,70, 1.67 , 1.36 
E07000115,Tonbridge & Malling,104,104,52,15,52,0,55, 0.94 , 0.94 
E06000027,Torbay,372,372,179,24,193,0,64, 2.78 , 3.00 
E07000046,Torridge,121,112,54,14,58,9,32, 1.69 , 1.81 
E09000030,Tower Hamlets,718,654,272,66,382,64,142, 1.91 , 2.68 
E08000009,Trafford,258,258,156,4,102,0,100, 1.57 , 1.02 
E07000116,Tunbridge Wells,111,108,63,16,45,3,51, 1.24 , 0.88 
E07000077,Uttlesford,47,47,23,0,24,0,38, 0.61 , 0.63 
E07000180,Vale of White Horse,122,122,102,12,20,0,60, 1.71 , 0.34 
E08000036,Wakefield,433,422,240,59,182,11,157, 1.53 , 1.16 
E08000030,Walsall,193,192,83,8,109,1,115, 0.72 , 0.94 
E09000031,Waltham Forest,298,295,89,11,206,3,105, 0.85 , 1.97 
E09000032,Wandsworth,501,444,132,29,312,57,138, 0.96 , 2.27 
E06000007,Warrington,486,479,269,67,210,7,93, 2.90 , 2.26 
E07000222,Warwick,172,153,23,3,130,19,63, 0.37 , 2.07 
E07000103,Watford,106,101,44,2,57,5,40, 1.10 , 1.43 
E07000216,Waverley,89,82,51,3,31,7,51, 0.99 , 0.60 
E07000065,Wealden,107,105,53,9,52,2,71, 0.74 , 0.73 
E07000241,Welwyn Hatfield,375,291,179,17,112,84,49, 3.64 , 2.28 
E06000037,West Berkshire,126,120,64,8,56,6,66, 0.96 , 0.84 
E07000047,West Devon,57,54,39,6,15,3,25, 1.55 , 0.59 
E07000127,West Lancashire,63,63,16,2,47,0,47, 0.34 , 1.00 
E07000142,West Lindsey,167,166,78,21,88,1,43, 1.80 , 2.03 
E06000062,West Northamptonshire,578,567,230,46,337,11,173, 1.33 , 1.95 
